,,,,"朱立凡
宗教聯盟","宋柏澄
台澎黨","洪慈庸
無黨籍","張睿倉
台灣民眾黨","張烱春
喜樂島聯盟","楊瓊瓔
中國國民黨",合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 員林里,575,0,1,467,126,1,572,0,2,46,4,17,77,9,3,400,5,0,26,3,371,197,0,0,2,5,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 員林里,576,0,1,444,101,1,535,2,1,53,3,51,79,8,5,332,8,0,21,3,342,159,0,1,7,8,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 員林里,577,3,0,565,103,2,527,0,5,43,7,34,84,3,4,346,6,3,31,1,434,168,1,4,0,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 員林里,578,1,1,491,135,3,532,0,1,47,3,34,80,7,3,350,13,3,26,4,411,179,3,0,4,5,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 六寶里,579,8,3,262,73,1,644,1,1,50,7,21,38,10,3,562,8,0,16,3,207,100,1,0,0,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 六寶里,580,3,1,507,119,1,572,3,6,54,11,43,84,6,4,297,20,3,14,0,507,141,1,1,1,8,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 六寶里,581,0,0,357,108,2,572,1,2,47,2,32,68,15,1,438,12,1,17,0,277,156,1,1,2,0,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 六寶里,582,2,2,512,89,2,484,2,1,41,5,40,77,7,2,338,8,2,21,2,372,162,0,0,3,4,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 秀山里,583,1,2,538,104,4,556,0,1,37,1,28,74,4,2,373,11,0,15,1,459,172,2,2,6,12,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 秀山里,584,6,1,536,110,0,669,4,1,56,5,49,88,9,2,414,16,2,24,1,441,186,1,1,4,8,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 橫山里,585,2,1,493,113,3,493,1,1,49,8,35,79,4,6,295,16,1,19,1,391,169,1,2,3,8,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 橫山里,586,1,2,516,92,4,511,1,4,40,1,39,102,6,5,357,8,1,25,0,394,140,1,1,2,7,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 橫山里,587,2,1,412,97,5,449,0,2,39,2,40,84,5,4,289,12,6,18,2,293,150,3,0,2,5,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 忠義里,588,1,0,125,32,2,536,0,3,22,2,13,24,12,2,497,7,2,9,1,98,62,0,1,3,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 忠義里,589,1,1,200,36,1,554,0,4,34,2,19,34,18,0,465,6,1,5,5,150,84,0,0,4,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 忠義里,590,2,4,219,64,0,558,1,2,37,6,24,53,18,2,504,3,0,7,0,150,100,0,0,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭秀里,591,0,1,508,65,5,395,1,1,21,1,26,75,11,2,249,15,2,20,1,393,135,1,1,2,6,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭北里,592,2,0,323,52,2,436,0,0,32,4,20,57,3,2,326,6,1,22,1,243,89,0,1,3,6,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭北里,593,0,2,356,59,2,471,2,5,33,3,24,68,5,5,321,3,0,22,4,263,130,2,0,2,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,594,1,0,418,52,0,404,0,0,21,6,22,68,4,3,293,8,1,23,0,304,126,1,0,2,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,595,1,1,441,67,0,404,1,1,49,4,14,60,2,2,291,7,0,21,8,328,118,1,1,3,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,596,4,1,464,72,2,390,1,1,35,5,30,71,4,1,273,9,1,15,2,356,132,2,0,0,5,,,,,,,,,,,,,,,,,,,
